Team,Year,Conference,Games,Wins,Win_Percentage,O_Efficiency,D_Efficiency,Power_Rating,EFG_O,EFG_D,Turnover_Rate,Steal_Rate,Offensive_Rebound_Rate,Opp_Offensive_Rebound_Rate,Free_Throw_Rate,Opp_Free_Throw_Rate,2_Pt_Percentage,Opp_2_Pt_Percentage,3_Pt_Percentage,Opp_3_Pt_Percentage,Wins_Above_Bubble,Elimination_Round,Seed,Round.of.64,X64WL,X64PD,Round.of.32,X32WL,X32PD,Sweet.16,X16WL,X16PD,Elite.8,X8WL,X8PD,Final.4,X4WL,X4PD,Championship,X2WL
Abilene Christian,2019,Slnd,30,27,0.9,100.9,100.7,0.5064,51.9,49.8,17.3,23.3,27,28.5,34,38.3,49.5,49.8,37.7,33.3,-2.6,R64,15,Kentucky,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Akron,2013,MAC,32,25,0.78125,103.4,94.4,0.7402,51,44.6,20.8,20.2,37.6,30.5,36.9,35,52.1,42.7,32.7,32.8,0.3,R64,12,VCU,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,2018,SEC,36,20,0.555555556,107.9,95.3,0.8074,51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,53.5,46.9,32.6,32.8,-1.1,R32,9,Virginia Tech,1,3,Villanova,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albany,2013,AE,35,24,0.685714286,101.2,98.7,0.5722,49.6,48.3,21.2,19.9,31.7,28.2,40,27.8,46.7,47.6,37,33.1,-4.5,R64,15,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albany,2014,AE,34,19,0.558823529,102.8,103.1,0.49,48.8,48.3,19.7,18.3,31.9,28.4,42,29.1,47,46,36,34.9,-8.6,R64,16,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albany,2015,AE,33,24,0.727272727,104.9,102.2,0.5749,49.9,49.6,18.8,20.1,32.6,26,39,30.4,47.9,46.2,35.8,36.2,-3.3,R64,14,Oklahoma,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American,2014,Pat,33,20,0.606060606,101.8,97.7,0.6178,55.8,46.4,23.1,19.6,26.5,29.7,35,40.7,55.1,45.7,37.9,31.9,-5.5,R64,15,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona St.,2014,P12,33,21,0.636363636,110.3,96.4,0.8252,52.4,46.3,16.3,17,24.5,30.2,42.5,37.3,48.8,45.3,39,32.6,1.2,R64,10,Texas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona St.,2019,P12,34,23,0.676470588,108.7,97.6,0.775,50.6,48.5,18.7,19,31.7,26.9,43.8,38.6,50.8,47.3,33.6,33.4,0.1,R64,11,Buffalo,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Arizona,2013,P12,35,27,0.771428571,114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35,26.7,37.4,32.9,50.6,43.4,37.1,35.8,4.6,S16,6,Belmont,1,17,Harvard,1,23,Ohio St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2014,P12,38,33,0.868421053,116.2,87.4,0.9636,51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,50.7,40.2,36.4,32,9.4,E8,1,Weber St.,1,9,Gonzaga,1,23,San Diego St.,1,6,Wisconsin,0,NA,NA,NA,NA,NA,NA
Arizona,2015,P12,38,34,0.894736842,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,9,E8,2,Texas Southern,1,21,Ohio St.,1,15,Xavier,1,8,Wisconsin,0,NA,NA,NA,NA,NA,NA
Arizona,2016,P12,34,25,0.735294118,116.1,95.7,0.9022,53.6,46.2,18.2,16,35,24.9,43.8,29.3,52.2,45.7,38.1,31.6,3.4,R64,6,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2017,P12,37,32,0.864864865,117.6,95.6,0.9157,53.7,47.7,16.6,17.4,33.2,26,40.5,28.6,51.5,48.4,39,31,7.9,S16,2,North Dakota,1,18,Saint Mary's,1,9,Xavier,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2018,P12,35,27,0.771428571,117,100.4,0.8528,56.3,49.9,17.5,16.7,33.2,25.1,36.9,31.2,56.7,47.7,36.9,35.8,3.8,R64,4,Buffalo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas Little Rock,2016,SB,33,28,0.848484848,107.6,96.7,0.7732,51.9,45.9,15.6,21,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,2.1,R32,12,Purdue,1,2,Iowa St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2015,SEC,36,27,0.75,113.2,96,0.8696,50,48.3,16.9,22.3,35.7,34.6,37.3,38.8,48.8,46.2,34.9,35.2,3.9,R32,5,Wofford,1,3,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2017,SEC,36,26,0.722222222,114.9,99.8,0.8339,51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,50,46.7,36.5,33.2,3.9,R32,8,Seton Hall,1,6,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2018,SEC,35,23,0.657142857,116.7,100.4,0.8483,53.8,50.4,15.1,19.4,28.8,31.7,37.4,40.8,51.2,48.2,39.5,35.7,2.8,R64,7,Butler,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auburn,2018,SEC,34,26,0.764705882,114,96.9,0.8672,50.8,49.7,16.4,20.7,32.1,28,39.8,38.1,48.7,47.7,35.7,35.1,4.3,R32,4,College of Charleston,1,4,Clemson,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auburn,2019,SEC,39,30,0.769230769,121.3,95.2,0.942,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,6.1,F4,5,New Mexico St.,1,1,Kansas,1,14,Kansas,1,14,Kentucky,1,6,Virgina,0,NA ,NA ,NA 
Austin Peay,2016,OVC,34,16,0.470588235,103.4,109.1,0.3501,51.3,53.8,20.2,18.6,31.9,30,47,31.3,51,53.3,34.7,36.4,-11.3,R64,16,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylor,2014,B12,36,24,0.666666667,119.2,99.5,0.8885,51.3,48.7,17.8,15.8,40.1,32,44.8,32.3,48.3,46.4,38,35.6,3.1,S16,6,Nebraska,1,14,Creighton,1,30,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylor,2015,B12,33,23,0.696969697,116.3,92.7,0.9316,49.8,45.8,20.1,19.3,41.9,31.5,38.6,32.1,46.1,46.4,38.2,29.8,5,R64,3,Georgia St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylor,2016,B12,33,21,0.636363636,119.3,99.2,0.8924,51.6,51.2,18.6,19.8,40,28.8,38.6,38.6,49.8,49.1,37.4,36.9,3.5,R64,5,Yale,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylor,2017,B12,34,27,0.794117647,116.4,93.9,0.9226,52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,52.2,45,35.3,32.2,7.9,S16,3,New Mexico St.,1,18,USC,1,4,South Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylor,2019,B12,34,20,0.588235294,114.6,99.2,0.84,51.2,49.1,19.7,18.6,37.9,29.4,32.3,36.5,51.2,47.5,34.1,34.5,0.9,R32,9,Syracuse,1,9,Gonzaga,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Belmont,2013,OVC,31,24,0.774193548,108.9,96.2,0.8064,56.5,48,19.6,25,29.7,34.2,32.8,37,56.9,46.7,37.2,33.5,0.1,R64,11,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belmont,2015,OVC,32,21,0.65625,108.7,106.8,0.5497,56.5,51.3,20.3,18.5,28.9,29.6,32.2,28.2,56.4,51.2,37.7,34.3,-4.7,R64,15,Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
