Predictor,Round of 64,Round of 32,Sweet 16,Elite 8,Fi0l 4,Championship,Sigcount
Intercept,-14.43931,5.48936,257.3341,-7207.46,25.09,-5133.21,6
Wins,2.0015,1.66559,3.65088,277.89,0,115.21,5
Win_Percentage,-47.92523,-44.50216,-110.90775,0,0,0,3
O_Efficiency,0.31245,0.3755,0,150.48,0,0,3
D_Efficiency,-0.61014,-0.86797,-3.26913,0,-113.16,0,4
Power_Rating,0,0,-157.3173,0,0,0,1
EFG_O,-0.78408,-0.27091,9.29474,0,79.68,0,4
EFG_D,1.49138,1.05835,2.42782,0,159.04,57.98,5
Steal_Rate,-0.76835,-0.80874,-0.9897,0,0,0,3
Opp_Offensive_Rebound_Rate,0.28368,0.3149,1.26012,0,0,0,3
X2_Pt_Percentage,0.48862,0,-5.65953,-227.35,0,0,3
Wins_Above_Bubble,-0.45997,-0.93702,0,-180.25,0,0,3
Seed,1.16617,-2.29359,-68.22245,0,1337.44,0,4
Wins:Seed,-0.10371,0.02952,-0.14101,0,0,0,3
Win_Percentage:Seed,3.19652,0,0,0,0,0,2
EFG_O:Seed,0.06154,0,-0.57265,0,-12.94,0,3
EFG_D:Seed,-0.11945,0,-0.64302,0,-42.99,0,3
Steal_Rate:Seed,0.05191,0,0.28394,0,0,0,2
X2_Pt_Percentage:Seed,-0.0431,0,0.26834,0,0,-53.72,3
Opp_2_Pt_Percentage:Seed,0.06102,0,0,0,0,0,1
Turnover_Rate,0,-0.09554,-3.2496,232.64,-117.65,91.93,5
Offensive_Rebound_Rate,0,0,1.1855,-102.8,17.93,0,3
Free_Throw_Rate,0,0,0,-35.76,0,0,1
Turnover_Rate:Seed,0,0.07285,0,0,0,0,1
X3_Pt_Percentage,0,0,-3.7471,-133.66,0,0,2
D_Efficiency:Seed,0,0,0.83857,0,0,0,1
Power_Rating:Seed,0,0,35.5391,0,0,0,1
Offensive_Rebound_Rate:Seed,0,0,-0.32126,0,0,0,1
Opp_Offensive_Rebound_Rate:Seed,0,0,-0.15017,0,0,0,1
